batch_id,separator,mod,plugin,plugin_path,input_id,selected_signature_counts
NQ009,Armor and Weapons - Modded,Merchantress Outfits - Main,kco_mct.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Merchantress Outfits - Main\kco_mct.esp,f34de7126bf566f3,ARMO:6
NQ009,Armor and Weapons - Modded,Midnight Mistress Armor Mashup - SMP 3BA,Midnight Mistress.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Midnight Mistress Armor Mashup - SMP 3BA\Midnight Mistress.esp,e6bb2d4b90ac17d0,ARMO:3
NQ009,Armor and Weapons - Modded,Moon Monk's Robes,Kad_MoonMonkRobes.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Moon Monk's Robes\Kad_MoonMonkRobes.esp,8f4ea5c349f9d7c6,ARMO:79|BOOK:1|CONT:3|ENCH:3|FLST:1|KYWD:1|PERK:1
NQ009,Armor and Weapons - Modded,Moonblade,Moonblade - Johnskyrim.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Moonblade\Moonblade - Johnskyrim.esp,8decf1a9d9940883,ENCH:2|PERK:1|SPEL:1|WEAP:4
NQ009,Armor and Weapons - Modded,New Leather Armor,New Leather Armor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\New Leather Armor\New Leather Armor.esp,828561ec0d432ad4,ARMO:6
NQ009,Armor and Weapons - Modded,Nibenean Armors and Outfit by Xtudo - HIMBO,NibeneanArmorsAndOutfit.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Nibenean Armors and Outfit by Xtudo - HIMBO\NibeneanArmorsAndOutfit.esp,890346fe5ce49f13,ARMO:20
NQ009,Armor and Weapons - Modded,Nibenean Armors and Outfit SE,NibeneanArmorsAndOutfit.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Nibenean Armors and Outfit SE\NibeneanArmorsAndOutfit.esp,14adfd0e2cf4cb6d,ARMO:20
NQ009,Armor and Weapons - Modded,Nibenean Strider Armor SE by Xtudo,NibeneanStriderbyXtudo.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Nibenean Strider Armor SE by Xtudo\NibeneanStriderbyXtudo.esp,fa79319ed2217c53,ARMO:11
NQ009,Armor and Weapons - Modded,Nirn Necessities - Requiem Rebalance Patch,Nirn Necessities - Requiem Rebalance.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Nirn Necessities - Requiem Rebalance Patch\Nirn Necessities - Requiem Rebalance.esp,606fb09ae7c086fe,ARMO:67|ENCH:9
NQ010,Armor and Weapons - Modded,Nirn Necessities - UBE patch,evgnnsmpaccessories UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Nirn Necessities - UBE patch\evgnnsmpaccessories UBE patch.esp,50228282499bebc2,ARMO:67
NQ010,Armor and Weapons - Modded,Nord Steelheart Armor,SteelheartArmors.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Nord Steelheart Armor\SteelheartArmors.esp,97d3a1f787634d36,ARMO:6
NQ010,Armor and Weapons - Modded,Nord Steelheart Armor - No Spid,SteelheartArmors.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Nord Steelheart Armor - No Spid\SteelheartArmors.esp,1cf70df954628cd6,ARMO:6
NQ010,Armor and Weapons - Modded,Nord Steelheart Armor - Steel Plate Replacer,SteelheartReplacer.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Nord Steelheart Armor - Steel Plate Replacer\SteelheartReplacer.esp,8ff854d4517b083e,ARMO:4
NQ010,Armor and Weapons - Modded,Northern God - Nordic Armor Replacer,Nordic Armor Replacer.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Northern God - Nordic Armor Replacer\Nordic Armor Replacer.esp,bf1d81b0b96e93e9,ARMO:4
NQ010,Armor and Weapons - Modded,Novice Witch - CBBE 3BA,1daem_NoviceWitch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Novice Witch - CBBE 3BA\1daem_NoviceWitch.esp,d6eed257ba7e6974,ARMO:19
NQ010,Armor and Weapons - Modded,Obi - Traveler's Romper Outfit 3BA,Traveler's Romper Outfit 3BA.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Obi - Traveler's Romper Outfit 3BA\Traveler's Romper Outfit 3BA.esp,4e3239f351561224,ARMO:9
NQ010,Armor and Weapons - Modded,Obi - Traveler's Romper Outfit UBE,Traveler's Romper Outfit 3BA UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Obi - Traveler's Romper Outfit UBE\Traveler's Romper Outfit 3BA UBE patch.esp,f23932664327a673,ARMO:9
NQ010,Armor and Weapons - Modded,Obi's Abyss Armor 3BA,Obi's Abyss Armor.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Obi's Abyss Armor 3BA\Obi's Abyss Armor.esp,263decd96f967716,ARMO:3
NQ010,Armor and Weapons - Modded,Obi's Abyss Armor UBE,Obi's Abyss Armor UBE patch.esp,D:\Wabbajack\modlists\ARR 2.5\mods\Obi's Abyss Armor UBE\Obi's Abyss Armor UBE patch.esp,6f721a6b4eab28eb,ARMO:3
